MFR #,IM SKU,Product Description, MSRP ,Ingram On-Hand,Ingram On-Order
1E4-00001,7MR418,SURFACE USB-C TRAVEL HUB., $119.99 ,374,280
1FV-00001,7MR425,DEMO SURFACE USB-C TRAVEL HUB, $119.99 ,2,0
2IQ-00001,07TX30,DEMO SURFACE HUB 2 SMART CAMERA, $799.99 ,3,0
30M-00001,700B90,SRFC PRO10/11 RSSD 1TB FIELDREPLACEMENT PART, $399.99 ,1,0
3WD-00001,7R5923,DEMO SURFACE DIAL COMMER, $99.00 ,8,0
3YR-00001,8F3663,SURFACE MOUSE BLUETOOTH GREY., $59.99 ,65,130
3ZD-00001,2AX103,DEMO SURFACE MOUSE BLUETOOTHGRAY, $59.99 ,6,0
8LU-00003,RS6094,SURFACE RSSD 1TB CRU WWHDWRCOMMERCIAL PLATINUM EXCH CRU RE, $262.99 ,4,0
8LV-00001,8WH747,SURFACE RSSD 256GB CRU BAY WW1LICS EXCHANGE CUST REPL UNIT REFURB, $57.99 ,8,0
8LX-00001,8WH748,SURFACE RSSD 512GB CRU BAY WW1LICS EXCHANGE CUST REPL UNIT REFURB, $83.99 ,2,0
8U3-00001,9AZ790,20-PK MICROSOFT CLSRM PEN 2., $469.99 ,10,0
8WX-00001,9KX557,SURFACE SLIM PEN 2 BLACK., $129.99 ,165,720
8X8-00141,JP8225,SURFACE PRO KEYBOARD WITH SLIMPEN  BLACK KEYBOARD BLACK PEN, $279.99 ,656,2775
8XB-00139,JP8222,SURFACE PRO KEYBOARD WITH PENSTORAGE  BLACK, $179.99 ,809,450
8XB-00162,JP8219,SURFACE PRO KEYBOARD WITH BOLDKEYSET  BLACK, $179.99 ,70,180
8XB-00186,JP8216,SURFACE PRO KEYBOARD WITH PENSTORAGE  PLATINUM, $179.99 ,613,250
8YS-00001,JW3311,DEMO SURFACE SRPROFLEXK BLACK., $399.99 ,16,0
D0I-00002,JT3523,MICROSOFT SRFCLPT6 13INABCOVER PLATINUM FIELD REPL PART, $388.99 ,3,0
D0V-00001,JT3527,MICROSOFT SRFCLPT6 FEET BLACKFIELD REPLACEMENT PART REFURB, $23.99 ,2,0
D0X-00002,JT3532,MICROSOFT SRFCLPT6 THERMALMODULE PLATINUM FIELD REPL PART 15, $81.99 ,1,0
DLB-00001,9KX573,SURFACE SURFACE 23W USB-CBLACK, $39.99 ,3,0
EP2-00152,JP8218,DEMO SURFACE PRO KEYBOARDW/ PEN STOR ENGLISH BLACK, $179.99 ,31,0
EP2-00153,JP8338,DEMOSURFACE PROKBW/SLIMPEN BLACK, $279.99 ,19,0
EP2-00395,JP8223,SURFACE PRO KEYBOARD BLACK NOPEN STORAGE, $169.99 ,1302,2075
EP2-00456,JP8221,DEMOSURFACE PROKEYBOARD BLACK, $169.99 ,9,0
EP2-04165,NJ3887,SURFACE KEYBOARD 2 BLUETOOTH., $149.99 ,119,53
EP2-04188,NJ3888,DEMO SURFACE KEYBOARDBLUETOOTH GRAY, $129.99 ,3,0
EP2-14737,KY1745,SURFACE PRO 10 5G I5/16/256PLATINUM," $2,099.99 ",156,269
EP2-19863,RS8955,SURFACE USB4 DOCK CM BLACK., $199.99 ,258,745
EP2-19866,RS8928,SURFACE DEMO USB4 DOCK BLACK., $199.99 ,71,0
EP2-20213,RS8978,SURFACE PRO 11 13IN INTELCU7/16/256PLATINUM," $1,999.99 ",422,368
EP2-20264,RS8987,SURFACE PRO 11 13IN INTELCU7/16/1TPLATINUM," $2,499.99 ",2,19
EP2-20424,RS9080,SURFACE DEMO PRO 11 13IN INTELCU7/16/1T PLATINUM," $2,499.99 ",1,0
EP2-20475,RS9083,SURFACE DEMO PRO 11 13IN INTELCU5/16/256 BLACK," $1,699.99 ",2,0
EP2-20492,RS9001,SURFACE DEMO PRO 11 13IN INTELCU5/16/256 PLATINUM," $1,699.99 ",5,0
EP2-20882,RS8923,SURFACE PRO 11 13IN INTELCU5/32/512 TAA PLATINUM," $2,449.99 ",4,0
EP2-22126,RS9007,SURFACE LAPTOP 7 13.8IN INTELCU5/16/256 TAA WIN11 PLATINUM," $1,749.99 ",1,0
EP2-29790,SG6603,WINDOWS 365 LINK N250/8/64BLACK, $349.99 ,360,0
EP2-29830,SM1991,SURFACE 45W USB-C WALL CHARGERWI BLACK, $69.99 ,713,0
EP2-32892,SS3652,SURFACE PRO 12IN KEYBOARDSLATE, $149.99 ,668,5
EP2-32894,SS3653,SURFACE PRO 12IN KEYBOARDSLATE, $149.99 ,2,20
EP2-33129,SS3655,SURFACE PRO 12IN KB+S PEN BNDLSLATE, $249.99 ,1512,0
EP2-33173,SS3677,DEMO SURFACE PRO 12IN KB+S PENBND SLATE, $249.99 ,5,0
EP2-33224,RS8977,SURFACE LAPTOP 7 13.8IN INTELCU5/16/256 WIN11 BLACK," $1,699.99 ",12,192
EP2-33229,RS8982,SURFACE LAPTOP 7 13.8IN INTELCU7/16/512 WIN11 BLACK," $1,999.99 ",2641,1367
EP2-33232,RS8946,SURFACE LAPTOP 7 15IN INTELCU7/32/1T WIN11 BLACK," $2,999.99 ",134,137
EP2-33233,RS8972,SURFACE LAPTOP 7 15IN INTELCU5/16/256 WIN11 BLACK," $1,899.99 ",92,560
EP2-33234,RS8956,SURFACE LAPTOP 7 15IN INTELCU7/16/256 WIN11 BLACK," $2,099.99 ",593,380
EP2-33235,RS8921,SURFACE LAPTOP 7 15IN INTELCU5/32/256WIN11 BLACK," $2,399.99 ",59,0
EP2-33236,RS8957,SURFACE LAPTOP 7 15IN INTELCU7/32/256WIN11 BLACK," $2,599.99 ",165,0
EP2-33242,RS8954,SURFACE LAPTOP 7 13.8IN INTELCU5/16/256WIN11 PLATINUM," $1,699.99 ",230,319
EP2-33245,RS8983,SURFACE LAPTOP 7 13.8IN INTELCU7/32/256 WIN11 PLATINUM," $2,399.99 ",1,0
EP2-33246,RS8952,SURFACE LAPTOP 7 13.8IN INTELCU5/16/512 WIN11 PLATINUM," $1,799.99 ",466,240
EP2-33247,RS8967,SURFACE LAPTOP 7 13.8IN INTELCU7/16/512WIN11 PLATINUM," $1,999.99 ",2419,0
EP2-33251,RS8949,SURFACE LAPTOP 7 15IN INTELCU5/16/256WIN11 PLATINUM," $1,899.99 ",744,0
EP2-33252,RS8947,SURFACE LAPTOP 7 15IN INTELCU7/16/256WIN11 PLATINUM," $2,099.99 ",25,96
EP2-33253,RS8924,SURFACE LAPTOP 7 15IN INTELCU5/32/256 WIN11 PLATINUM," $2,399.99 ",24,0
EP2-33256,RS8980,SURFACE LAPTOP 7 15IN INTELSYST CU7/16 512WIN11 PLATINUM," $2,199.99 ",389,1022
EP2-33442,SS3663,SURFACE LAPTOP 13IN SDP/16/256CM SC ENGLISH PLATINUM METAL," $1,299.99 ",46,45
