VPC,Part#,SKU#,Avail Qty,MFGPart#,Short Desc
Surface Laptop,MST-EP2-33238,14412547,"1,801",EP2-33238,MST Surface Laptop 7 15in Intel CU7/16/512 CM Win11 Black
Surface Pro,MST-EP2-33662,14748754,"1,559",EP2-33662,MST Surface Pro 12in Snapdragon Plus/16/256 Win 11 Platinum_USB-C & 45W Power Supply Included
Surface Laptop,MST-EP2-33229,14412507,"1,518",EP2-33229,MST Surface Laptop 7 13.8in Intel CU7/16/512 CM Win11 Black
Surface Accessories,MST-8X8-00164,9188575,"1,359",8X8-00164,Microsoft Surface Pro Keyboard w/slim pen platinum commercial 1 license
Surface Pro,MST-EP2-20213,14412668,"1,192",EP2-20213,MST Surface Pro 11 13in CU7/16/256 Win 11 Platinum (Intel)
Surface Laptop,MST-EP2-33256,14412548,"1,115",EP2-33256,MST Surface Laptop 7 15in Intel CU7/16/512 CM Win11 Platinum
Surface Accessories,MST-EP2-00395,9188657,961,EP2-00395,Microsoft Surface Pro Keyboard English Commercial Black
Surface Laptop,MST-EP2-33234,14412543,633,EP2-33234,MST Surface Laptop 7 15in Intel CU7/16/256 CM Win11 Black
Surface Accessories,MST-FHD-00016,4903056,512,FHD-00016,SURFACE ARC TOUCH MOUSE BLACK COLOR
Surface Accessories,MST-8XB-00186,9188710,466,8XB-00186,Micsoft Surface Pro Keyboard w/PenStor Commercial Platinum
Surface Accessories,MST-W8Z-00001,9361145,438,W8Z-00001,MICROSOFT SURFACE 65W PSU COMMERCIAL BLACK
Surface Accessories,MST-EP2-32892,14748793,249,EP2-32892,Surface Pro 12in Keyboard SLATE
Surface Laptop LTE,MST-EP2-37087,14748767,223,EP2-37087,MST Surface Laptop 7 5G 13.8in C7/32/1TB Win 11 Platinum (Intel)
PCW-NOECOMM,PCW-SXW-00001,6705962,205,SXW-00001,Temp part for Rec in CWS
Surface Accessories,MST-1E4-00001,5833514,169,1E4-00001,Surface USB-C Travel Hub
Surface Accessories,MST-3YR-00001,4750248,134,3YR-00001,Surface Mouse Commer SC Bluetooth
Surface Laptop,MST-EP2-33442,14748806,111,EP2-33442,MST Surface Laptop 13in Snapdragon Plus/16/256 Win 11 Platinum (Qualcomm/Snapdragon)
Surface Accessories,MST-8WX-00001,6349581,106,8WX-00001,Srfc Slim Pen Comm Black Pen.
Microsoft DEMO,MST-EP2-14760,9778635,101,EP2-14760,DEMO Pro10 5G Ultra5/16/256 Platinum
Surface Accessories,MST-FHD-00001,4903055,97,FHD-00001,SURFACE ARC TOUCH MOUSE LIGHT GREY COLOR
Surface Pro LTE,MST-EP2-14797,9778642,83,EP2-14797,Pro10 5G Ultra7/16/256 Platinum
Surface Pro,MST-EP2-20247,14412670,79,EP2-20247,MST Surface Pro 11 13in CU7/16/512 Win 11 Platinum (Intel)
Surface Laptop,MST-ZGZ-00001,9646614,72,ZGZ-00001,MST Surface Laptop 7 13.8in Elite/16/512Platinum (Qualcomm/Snapdragon)
Surface Laptop LTE,MST-EP2-37082,14748802,68,EP2-37082,MST Surface Laptop 7 5G 13.8in C5/16/256 Win11 Platinum (Intel)
Surface Pro LTE,MST-ZFB-00001,9778633,57,ZFB-00001,Pro 11 5G Elite/16/512 Platinum (Qualcomm/Snapdragon)
PCW-NOECOMM,PCW-RRS-00001,6705964,50,RRS-00001,Temp part for Rec in CWS
Surface Laptop,MST-ZGV-00001,9646606,49,ZGV-00001,MST Surface Laptop 7 13.8in Plus/16/256 Platinum (Qualcomm/Snapdragon)
Surface Accessories,MST-EP2-29830,14748812,48,EP2-29830,Surface 45WUSB-C WChrgrCM wi Black
Surface Laptop,MST-EP2-33236,14412562,34,EP2-33236,MST Surface Laptop 7 15in Intel CU7/32/256 CM Win11 Black
Surface Accessories,MST-8XB-00162,9188545,27,8XB-00162,Microsoft Surface Pro Keyboard w/PenStor Commercial Black Large
Surface Laptop,MST-EP2-33247,14412508,23,EP2-33247,MST Surface Laptop 7 13.8in Intel CU7/16/512 CM Win11 Platinum
Surface Laptop,MST-EP2-33232,14412551,19,EP2-33232,MST Surface Laptop 7 15in Intel CU7/32/1T CM Win11 Black
Surface Pro TAA,MST-EP2-20885,14498755,14,EP2-20885,TAA Pro 11 13in Intel CU7/32/512 TAA SC  Platinum
Surface Accessories,MST-NWG-00001,11931890,13,NWG-00001,80PK SURFACE PENTIP M1776COM SC EN XD ES
Surface Accessories,MST-EP2-04165,14161542,13,EP2-04165,Microsoft Surface Keyboard Full Size Copilot button - Grey
Microsoft DEMO,MST-EP2-33173,14748810,11,EP2-33173,"DEMO Surface Pro 12-inch Keyboard with Slim Pen Slate keyboard, Black pen"
Repair parts,MST-I5B-00001,8890630,10,I5B-00001,Srfc Pro7 Kickstand CRU WW Commercial Platinum Refurb
Repair parts,MST-Z6F-00001,8890920,9,Z6F-00001,SrfLS2 Feet FRU SC WW
Surface Accessories,MST-J61-00001,9188622,7,J61-00001,Microsoft Surface Adaptive Mouse Tail Thumb Commercial Black
Surface Laptop,MST-EP2-33253,14412638,7,EP2-33253,MST Surface Laptop 7 15in Intel CU5/32/256 CM Win11 Platinum
Surface Pro,MST-ZIP-00001,9646580,6,ZIP-00001,MST Surface Pro 11 Elite/16/1TB Win 11 Platinum (Qualcomm/Snapdragon)
Surface Accessories,MST-NJ1-00001,12107955,5,NJ1-00001,SURFACE SLIM PEN 2 TIPS BLK
Microsoft DEMO,MST-WKN-00001,8824692,2,WKN-00001,SRFC TB4 DOCK DEMO US COMMERCIAL BLACK
Repair parts,MST-DGB-00001,8890671,2,DGB-00001,Pro8 rSSD 512GB CRU WW Commercial Refurb
Repair parts,MST-TIF-00001,8890713,2,TIF-00001,SfcPro9 rSSD 512GB CRU WW Commercial
Surface Laptop,MST-ZGX-00001,9646534,2,ZGX-00001,MST Surface Laptop 7 13.8in Plus/16/512 Platinum (Qualcomm/Snapdragon)
PBUP,MST-EP2-33723,14748781,2,EP2-33723,PBUP MST Surface Pro 12in Snapdragon Plus/16/512 Win 11 Platinum_45W Power Supply Included
Book Access.,MST-Z2D-00001,8803943,1,Z2D-00001,wrong part set up to receive cws#1193302
Surface Accessories,MST-J71-00001,9188641,1,J71-00001,Adaptive Hub Commercial Black
PCW-TAB-R,SNO-X42-00001,14522336,1,X42-00001,CPO SURFACE PRO 10 ULTRA5/8/256 PLATINUM
Surface Pro,MST-EP2-33665,14748748,1,EP2-33665,MST Surface Pro 12in Snapdragon Plus/24/1TB Win 11 Platinum_USB-C & 45W Power Supply Included
Microsoft DEMO,MST-EP2-32961,14748772,1,EP2-32961,DEMO Surface Pro 12in KB CM SC English US Comm SLATE
Surface Pro,MST-EP2-33668,14748797,1,EP2-33668,MST Surface Pro 12in Snapdragon Plu/16/512 Win 11 Platinum_USB-C Power Supply Included
