Continuation SKU,,,,,,,,,,,,,,,,,,,,
EOL,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Surface Laptop 7 - 13.8 inch - (ARM) Windows 11 Pro SKU's,,,,,,,,OK,Surface Laptop 7 Extended Manufacturer Warranty,,,,,,,,,
,,SKU's,,,,,,,,,Part Number,,Description (No Advanced Exchange),,,,,,Coverage Term,
,,ZGV-00001,Surface Laptop 7 - 13.8in - Snapdragon X Plus - X Plus/16/256 - Platinum ,,,,,,,,W49-00202,,Surface Laptop Commercial Extended Service Plan,,,,,,2 Years Total,
,,ZGX-00001,Surface Laptop 7 - 13.8in - Snapdragon X Plus - X Plus/16/512 - Platinum ,,,,,,,,A9W-00281,,Surface Laptop Commercial Extended Service Plan,,,,,,3 Years Total,
,,ZGX-00038,Surface Laptop 7 - 13.8in - Snapdragon X Plus - X Plus/16/512 - Black ,,,,,,,,VP3-00222,,Surface Laptop Commercial Extended Service Plan,,,,,,4 Years Total,
,,,,,,,,,,Good,Surface Laptop 7  Extended Hardware Services Plus (includes Next Business Day),,,,,,,,,
,,ZGZ-00001,Surface Laptop 7 - 13.8in - Snapdragon X Elite - X Elite/16/512 - Platinum ,,,,,,,,Part Number,,Description (Plus Includes Advanced Exchange),,,,,,Coverage Term,
,,ZGZ-00038,Surface Laptop 7 - 13.8in - Snapdragon X Elite - X Elite/16/512 - Black ,,,,,,,,NRB-00160,,Surface Laptop Commercial Extended Service Plan + with NBD,,,,,,2 Years Total,
,,ZXY-00001,Surface Laptop 7 - 13.8in - Snapdragon X Elite - X Elite/16/1TB - Platinum ,,,,,,,,NRI-00159,,Surface Laptop Commercial Extended Service Plan + with NBD,,,,,,3 Years Total,
,,ZXY-00038,Surface Laptop 7 - 13.8in - Snapdragon X Elite - X Elite/16/1TB - Black ,,,,,,,,NRQ-00159,,Surface Laptop Commercial Extended Service Plan + with NBD,,,,,,4 Years Total,
,,EP2-36622,Surface Laptop 7 - 13.8in - Snapdragon X Elite - X Elite/32/512 - Platinum  ,,,,,,,Better ,Surface Laptop 7 Complete for Business (includes Accidental Damage Protection),,,,,,,,,
,,ZHB-00001,Surface Laptop 7 - 13.8in - Snapdragon X Elite - X Elite/32/1TB - Black ,,,,,,,,Part Number,,Description (No Advanced Exchange),,,,,,Coverage Term,
,,Surface Laptop 7 - 15 inch - (ARM)Windows 11 Pro SKU's,,,,,,,,,W47-00237,,Surface Laptop Complete for Business with ADP,,,,,,2 Years Total,
,,ZHP-00001,Surface Laptop 7 - 15in - Snapdragon X Elite - X Elite/16/256 - Platinum ,,,,,,,,F9W-00296,,Surface Laptop Complete for Business with ADP,,,,,,3 Years Total,
,,ZHQ-00001,Surface Laptop 7 - 15in - Snapdragon X Elite - X Elite/16/512 - Platinum ,,,,,,,,HP3-00224,,Surface Laptop Complete for Business with ADP,,,,,,4 Years Total,
,,ZHQ-00026,Surface Laptop 7 - 15in - Snapdragon X Elite - X Elite/16/512 - Black,,,,,,,Best,Surface Laptop 7 Complete for Business Plus (includes ADP & NBD),,,,,,,,,
,,ZYU-00001,Surface Laptop 7 - 15in - Snapdragon X Elite - X Elite/16/1TB - Platinum ,,,,,,,,Part Number,,Description (Plus Includes Advanced Exchange),,,,,,Coverage Term,
,,ZYU-00026,Surface Laptop 7 - 15in - Snapdragon X Elite - X Elite/16/1TB - Black ,,,,,,,,ZWK-00041,,Surface Laptop Complete for Business + with ADP & NBD,,,,,,2 Years Total,
,,EP2-38191,Surface Laptop 7 - 15in - Snapdragon X Elite - X Elite/32/512 - Platinum,,,,,,,,ZWL-00042,,Surface Laptop Complete for Business + with ADP & NBD,,,,,,3 Years Total,
,,ZHR-00001,Surface Laptop 7 - 15in - Snapdragon X Elite - X Elite/32/1TB - Black ,,,,,,,,ZWM-00043,,Surface Laptop Complete for Business + with ADP & NBD,,,,,,4 Years Total,
,,EP2-37384,Surface Laptop 7 - 15in - Snapdragon X Elite - X Elite/64/1TB - Black ,,,,,,,,,,,,,,,,,
,,Surface Laptop 7 - 13.8 inch - (INTEL) Windows 11 Pro SKU's,,,,,,,,,,,,,,,,,,
,,SKU's,,,,,,,,Surface Laptop 5G - 13.8 inch - (INTEL) Windows 11 Pro SKU's,,,,,,,,,,
,,EP2-33224,Surface Laptop 7 - 13.8in - Ultra 5 236V - U5/16/256 - Black ,,,,,,,SKU's,,,,,,,,,,
,,EP2-33242,Surface Laptop 7 - 13.8in - Ultra 5 236V - U5/16/256 - Platinum ,,,,,,,EP2-37082,Surface Laptop 5G - 13.8in - Ultra 5 236V - U5/16/256 ,,,,,,,,,
