,,,,,,,,,,,,,,,
Surface Laptop 8 - 13.8 inch - (INTEL) Windows 11 Pro SKU's,,,,,,,,,Surface Laptop 8 - 15 inch - (INTEL) Windows 11 Pro SKU's,,,,,,
SKU's,Core Ultra 5 335 - 8 Core/4Xe,,,,,,,,SKU's,Core Ultra 5 335 - 8 Core/4Xe,,,,,
EP2-47589,Surface Laptop 8 - 13.8in - Ultra 5  - U5/16/256 - Black ,,,,,,,,EP2-50779,Surface Laptop 8 - 15in - Ultra 5  - U5/16/256 - Black ,,,,,
EP2-47614,Surface Laptop 8 - 13.8in - Ultra 5  - U5/16/256 - Platinum ,,,,,,,,EP2-50804,Surface Laptop 8 - 15in - Ultra 5  - U5/16/256 - Platinum ,,,,,
EP2-47640,Surface Laptop 8 - 13.8in - Ultra 5  - U5/16/512 - Black ,,,,,,,,EP2-50929,Surface Laptop 8 - 15in - Ultra 5  - U5/16/512 - Black ,,,,,
EP2-47665,Surface Laptop 8 - 13.8in - Ultra 5  - U5/16/512 - Platinum ,,,,,,,,EP2-50954,Surface Laptop 8 - 15in - Ultra 5  - U5/16/512 - Platinum ,,,,,
EP2-47690,Surface Laptop 8 - 13.8in - Ultra 5  - U5/32/256 - Black ,,,,,,,,EP2-50979,Surface Laptop 8 - 15in - Ultra 5  - U5/32/256 - Black ,,,,,
EP2-47715,Surface Laptop 8 - 13.8in - Ultra 5  - U5/32/256 - Platinum ,,,,,,,,EP2-51004,Surface Laptop 8 - 15in - Ultra 5  - U5/32/256 - Platinum ,,,,,
EP2-47740,Surface Laptop 8 - 13.8in - Ultra 5  - U5/32/512 - Black ,,,,,,,,EP2-51029,Surface Laptop 8 - 15in - Ultra 5  - U5/32/512 - Black ,,,,,
EP2-47765,Surface Laptop 8 - 13.8in - Ultra 5  - U5/32/512 - Platinum ,,,,,,,,EP2-51054,Surface Laptop 8 - 15in - Ultra 5  - U5/32/512 - Platinum ,,,,,
,Core Ultra 7 - 8 Core/4Xe,,,,,,,,,Core Ultra X7 365H - 16 Core/12Xe,,,,,
EP2-,Surface Laptop 8 - 13.8in - Ultra 7 - U7/16/256 - Black ,,,,,,,,EP2-51079,Surface Laptop 8 - 15in - Ultra X7 - UX7/16/256 - Black ,,,,,
EP2-,Surface Laptop 8 - 13.8in - Ultra 7 - U7/16/256 - Platinum ,,,,,,,,EP2-51104,Surface Laptop 8 - 15in - Ultra X7 - UX7/16/256 - Platinum ,,,,,
EP2-,Surface Laptop 8 - 13.8in - Ultra 7 - U7/16/512 - Black ,,,,,,,,EP2-51129,Surface Laptop 8 - 15in - Ultra X7 - UX7/16/512 - Black ,,,,,
EP2-,Surface Laptop 8 - 13.8in - Ultra 7 - U7/16/512 - Platinum ,,,,,,,,EP2-51154,Surface Laptop 8 - 15in - Ultra X7 - UX7/16/512 - Platinum ,,,,,
EP2-,Surface Laptop 8 - 13.8in - Ultra 7 - U7/32/256 - Black ,,,,,,,,EP2-51229,Surface Laptop 8 - 15in - Ultra X7 - UX7/32/256 - Black ,,,,,
EP2-,Surface Laptop 8 - 13.8in - Ultra 7 - U7/32/256 - Platinum ,,,,,,,,EP2-51254,Surface Laptop 8 - 15in - Ultra X7 - UX7/32/256 - Platinum ,,,,,
EP2-47990,Surface Laptop 8 - 13.8in - Ultra 7 - U7/32/512 - Black ,,,,,,,,EP2-55108,Surface Laptop 8 - 15in - Ultra X7 - UX7/32/512 - Black ,,,,,
EP2-48015,Surface Laptop 8 - 13.8in - Ultra 7 - U7/32/512 - Platinum ,,,,,,,,EP2-55133,Surface Laptop 8 - 15in - Ultra X7 - UX7/32/512 - Platinum ,,,,,
EP2-,Surface Laptop 8 - 13.8in - Ultra 7 - U7/32/1TB - Black ,,,,,,,,EP2-51179,Surface Laptop 8 - 15in - Ultra X7 - UX7/32/1TB - Black ,,,,,
EP2-,Surface Laptop 8 - 13.8in - Ultra 7 - U7/32/1TB - Platinum ,,,,,,,,EP2-51204,Surface Laptop 8 - 15in - Ultra X7 - UX7/32/1TB - Platinum ,,,,,
