Continuation SKU,,,,,,,,,,,,,,,,,,,
EOL,,,,,,,,,,,,,,,,,,,
,Surface Pro 11 - (ARM) Windows 11 Pro SKU's,,,,,,,,Signature Keyboard for Surface Pro 11 with Co-Pilot Button,,,,,Surface Accessories ,,,,,
,SKU's,SnapDragon X Plus,,,,,,,Part Number,Description,,,,1GK-00001,Surface Dock 2,,,,
,ZIK-00001,Surface Pro 11 - Snapdragon X Plus - X Plus/16/256 - Platinum ,,,,,,,Y8U-00001,Surface Pro Flex Keyboard with Slim Pen - Black ,,,,T8I-00001,Surface Thunderbolt 4 Dock,,,,
,ZIL-00001,Surface Pro 11 - Snapdragon X Plus - X Plus/16/512 - Platinum ,,,,,,,ZRA-00001,Surface Pro Flex Keyboard with pen storage - Black ,,,,W8Z-00001,65w Surface Connect Charger,,,,
,ZIL-00019,Surface Pro 11 - Snapdragon X Plus - X Plus/16/512 - Black ,,,,,,,ZRA-00023,Surface Pro Flex Keyboard with Bold Keyset- Black,,,,1E4-00001,USB-C Travel Hub,,,,
,,Snap Dragon X Elite with OLED SCREEN ,,,,,,,8X8-00141,Surface Pro 11 Keyboard Cover - Black Bundle with Slim Pen ,,,,8WX-00001,Surface Slim Pen 2 Black          ,,,,
,ZIN-00001,Surface Pro 11 - Snapdragon X Elite - X Elite/16/512/OLED - Platinum ,,,,,,,8X8-00164,Surface Pro 11 Keyboard Cover - Platinum Bundle with Slim Pen ,,,,EP2-19863,USB4 Dock,,,,
,ZIN-00019,Surface Pro 11 - Snapdragon X Elite - X Elite/16/512/OLED - Black ,,,,,,,8XB-00139,Surface Pro 11 Keyboard Cover with Pen Storage - Black ,,,,,,,,,
,ZIP-00001,Surface Pro 11 - Snapdragon X Elite - X Elite/16/1TB/OLED - Platinum ,,,,,,,8XB-00186,Surface Pro 11 Keyboard Cover with Pen Storage - Platinum,,,,,,,,,
,ZIP-00019,Surface Pro 11 - Snapdragon X Elite - X Elite/16/1TB/OLED - Black ,,,,,,,8XB-00162,Surface Pro 11Keyboard Cover - With Bold Keyset,,,,,,,,,
,ZIR-00001,Surface Pro 11 - Snapdragon X Elite - X Elite/32/1TB/OLED - Platinum ,,,,,,,EP2-00395,Surface Pro 11 Keyboard Cover - Black (no pen storage),,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Surface Pro 11 - (INTEL) Windows 11 Pro SKU's,,,,,,,,,,,,,,,,,,
,SKU's,Core Ultra 5 236V & 238V,,,,,,,Pen for Surface Pro 11,,,,,,,,,,
,EP2-20094,Surface Pro 11 - Ultra 5 236V - U5/16/256 - Black ,,,,,,,Part Number,Description,,,,,,,,,
,EP2-20111,Surface Pro 11 - Ultra 5 236V - U5/16/256 - Platinum ,,,,,,,8WX-00001,Surface Slim Pen 2 Black          ,,,,,,,,,
,EP2-20128,Surface Pro 11 - Ultra 5 236V - U5/16/512 - Black ,,,,,,,8X3-00001,Surface Slim Pen 2 Charger ,,,,,,,,,
,EP2-20145,Surface Pro 11 - Ultra 5 236V - U5/16/512 - Platinum ,,,,,,,,,,,,,,,,,
,EP2-20162,Surface Pro 11 - Ultra 5 238V - U5/32/256 - Platinum,,,,,,,Ok ,Surface Pro 10/11 Extended Manufacturer Warranty,,,,,,,,,
,EP2-20179,Surface Pro 11 - Ultra 5 238V - U5/32/512 - Platinum,,,,,,,,Part Number,,Description (No Advanced Exchange),,,,,,Coverage Term,
,SKU's,Core Ultra 7 266V & 268V with OLED,,,,,,,,W49-00185,,Surface Pro Commercial Extended Service Plan,,,,,,2 Years Total,
,EP2-20196,Surface Pro 11 - Ultra 7 266V - U7/16/256/OLED - Black ,,,,,,,,A9W-00264,,Surface Pro Commercial Extended Service Plan,,,,,,3 Years Total,
,EP2-20213,Surface Pro 11 - Ultra 7 266V - U7/16/256/OLED - Platinum ,,,,,,,,VP3-00205,,Surface Pro Commercial Extended Service Plan,,,,,,4 Years Total,
,EP2-20230,Surface Pro 11 - Ultra 7 266V - U7/16/512/OLED- Black ,,,,,,,Good,Surface Pro 10/11 Extended Hardware Services Plus (includes Next Business Day),,,,,,,,,
,EP2-20247,Surface Pro 11 - Ultra 7 266V - U7/16/512/OLED - Platinum ,,,,,,,,Part Number,,Description (Plus Includes Advanced Exchange),,,,,,Coverage Term,
