Vend#,VPC,Part#,SKU#,Avail Qty,MFGPart#,Short Desc
55306,Surface Laptop,MST-EP2-33238,14412547,"1,862",EP2-33238,MST Surface Laptop 7 15in Intel CU7/16/512 CM Win11 Black
55306,Surface Laptop,MST-EP2-33229,14412507,"1,637",EP2-33229,MST Surface Laptop 7 13.8in Intel CU7/16/512 CM Win11 Black
55306,Surface Pro,MST-EP2-33662,14748754,"1,581",EP2-33662,MST Surface Pro 12in Snapdragon Plus/16/256 Win 11 Platinum_USB-C & 45W Power Supply Included
55306,Surface Accessories,MST-8X8-00164,9188575,"1,430",8X8-00164,Microsoft Surface Pro Keyboard w/slim pen platinum commercial 1 license
55306,Surface Pro,MST-EP2-20213,14412668,"1,277",EP2-20213,MST Surface Pro 11 13in CU7/16/256 Win 11 Platinum (Intel)
55306,Surface Laptop,MST-EP2-33256,14412548,"1,117",EP2-33256,MST Surface Laptop 7 15in Intel CU7/16/512 CM Win11 Platinum
55306,Surface Accessories,MST-EP2-00395,9188657,"1,011",EP2-00395,Microsoft Surface Pro Keyboard English Commercial Black
55306,Surface Accessories,MST-T8I-00001,7291491,891,T8I-00001,Surface Thunderbolt 4 Dock CM SC EN/XD/XX US/Canada Commercial Black
55306,Surface Laptop,MST-EP2-33234,14412543,631,EP2-33234,MST Surface Laptop 7 15in Intel CU7/16/256 CM Win11 Black
55306,Surface Accessories,MST-FHD-00016,4903056,607,FHD-00016,SURFACE ARC TOUCH MOUSE BLACK COLOR
55306,Surface Accessories,MST-W8Z-00001,9361145,478,W8Z-00001,MICROSOFT SURFACE 65W PSU COMMERCIAL BLACK
55306,Surface Accessories,MST-8XB-00186,9188710,473,8XB-00186,Micsoft Surface Pro Keyboard w/PenStor Commercial Platinum
55306,Surface Accessories,MST-EP2-32892,14748793,250,EP2-32892,Surface Pro 12in Keyboard SLATE
55306,Surface Laptop LTE,MST-EP2-37087,14748767,224,EP2-37087,MST Surface Laptop 7 5G 13.8in C7/32/1TB Win 11 Platinum (Intel)
61884,PCW-NOECOMM,PCW-SXW-00001,6705962,205,SXW-00001,Temp part for Rec in CWS
55306,Surface Accessories,MST-1E4-00001,5833514,202,1E4-00001,Surface USB-C Travel Hub
55306,Surface Pro LTE,MST-EP2-14797,9778642,188,EP2-14797,Pro10 5G Ultra7/16/256 Platinum
55306,Surface Accessories,MST-3YR-00001,4750248,138,3YR-00001,Surface Mouse Commer SC Bluetooth
55306,Surface Accessories,MST-8WX-00001,6349581,130,8WX-00001,Srfc Slim Pen Comm Black Pen.
55306,Surface Laptop,MST-EP2-33442,14748806,126,EP2-33442,MST Surface Laptop 13in Snapdragon Plus/16/256 Win 11 Platinum (Qualcomm/Snapdragon)
55306,Surface Accessories,MST-FHD-00001,4903055,118,FHD-00001,SURFACE ARC TOUCH MOUSE LIGHT GREY COLOR
55306,Surface Pro,MST-EP2-20247,14412670,102,EP2-20247,MST Surface Pro 11 13in CU7/16/512 Win 11 Platinum (Intel)
55306,Microsoft DEMO,MST-EP2-14760,9778635,101,EP2-14760,DEMO Pro10 5G Ultra5/16/256 Platinum
55306,Surface Accessories,MST-8X8-00141,9188542,79,8X8-00141,Microsoft Surface Pro Keyboard w/Slim Pen Commercial Black
55306,Surface Laptop,MST-ZGZ-00001,9646614,78,ZGZ-00001,MST Surface Laptop 7 13.8in Elite/16/512Platinum (Qualcomm/Snapdragon)
55306,Surface Laptop LTE,MST-EP2-37082,14748802,70,EP2-37082,MST Surface Laptop 7 5G 13.8in C5/16/256 Win11 Platinum (Intel)
55306,Surface Pro LTE,MST-ZFB-00001,9778633,65,ZFB-00001,Pro 11 5G Elite/16/512 Platinum (Qualcomm/Snapdragon)
55306,Surface Accessories,MST-EP2-29830,14748812,51,EP2-29830,Surface 45WUSB-C WChrgrCM wi Black
61884,PCW-NOECOMM,PCW-RRS-00001,6705964,50,RRS-00001,Temp part for Rec in CWS
55306,Surface Laptop,MST-ZGV-00001,9646606,49,ZGV-00001,MST Surface Laptop 7 13.8in Plus/16/256 Platinum (Qualcomm/Snapdragon)
55306,Surface Laptop,MST-EP2-33236,14412562,36,EP2-33236,MST Surface Laptop 7 15in Intel CU7/32/256 CM Win11 Black
55306,Surface Accessories,MST-8XB-00162,9188545,31,8XB-00162,Microsoft Surface Pro Keyboard w/PenStor Commercial Black Large
55306,Surface Laptop,MST-EP2-33247,14412508,16,EP2-33247,MST Surface Laptop 7 13.8in Intel CU7/16/512 CM Win11 Platinum
55306,Surface Accessories,MST-NWG-00001,11931890,13,NWG-00001,80PK SURFACE PENTIP M1776COM SC EN XD ES
55306,Surface Accessories,MST-EP2-04165,14161542,13,EP2-04165,Microsoft Surface Keyboard Full Size Copilot button - Grey
55306,Surface Laptop,MST-EP2-33253,14412638,12,EP2-33253,MST Surface Laptop 7 15in Intel CU5/32/256 CM Win11 Platinum
55306,Microsoft DEMO,MST-EP2-33173,14748810,11,EP2-33173,"DEMO Surface Pro 12-inch Keyboard with Slim Pen Slate keyboard, Black pen"
55306,Repair parts,MST-I5B-00001,8890630,10,I5B-00001,Srfc Pro7 Kickstand CRU WW Commercial Platinum Refurb
55306,Repair parts,MST-Z6F-00001,8890920,9,Z6F-00001,SrfLS2 Feet FRU SC WW
55306,Surface Accessories,MST-J61-00001,9188622,7,J61-00001,Microsoft Surface Adaptive Mouse Tail Thumb Commercial Black
55306,Surface Pro TAA,MST-EP2-20882,14520713,7,EP2-20882,TAA Pro 11 13in Intel CU5/32/512 TAA SC Platinum
55306,Surface Pro,MST-ZIP-00001,9646580,6,ZIP-00001,MST Surface Pro 11 Elite/16/1TB Win 11 Platinum (Qualcomm/Snapdragon)
55306,Surface Accessories,MST-NJ1-00001,12107955,5,NJ1-00001,SURFACE SLIM PEN 2 TIPS BLK
55306,Microsoft DEMO,MST-WKN-00001,8824692,2,WKN-00001,SRFC TB4 DOCK DEMO US COMMERCIAL BLACK
55306,Repair parts,MST-DGB-00001,8890671,2,DGB-00001,Pro8 rSSD 512GB CRU WW Commercial Refurb
55306,Repair parts,MST-TIF-00001,8890713,2,TIF-00001,SfcPro9 rSSD 512GB CRU WW Commercial
55306,Surface Laptop,MST-ZGX-00001,9646534,2,ZGX-00001,MST Surface Laptop 7 13.8in Plus/16/512 Platinum (Qualcomm/Snapdragon)
55306,PBUP,MST-EP2-33723,14748781,2,EP2-33723,PBUP MST Surface Pro 12in Snapdragon Plus/16/512 Win 11 Platinum_45W Power Supply Included
55306,Book Access.,MST-Z2D-00001,8803943,1,Z2D-00001,wrong part set up to receive cws#1193302
55306,Surface Accessories,MST-J71-00001,9188641,1,J71-00001,Adaptive Hub Commercial Black
61884,PCW-TAB-R,SNO-X42-00001,14522336,1,X42-00001,CPO SURFACE PRO 10 ULTRA5/8/256 PLATINUM
55306,Surface Pro,MST-EP2-33665,14748748,1,EP2-33665,MST Surface Pro 12in Snapdragon Plus/24/1TB Win 11 Platinum_USB-C & 45W Power Supply Included
55306,Microsoft DEMO,MST-EP2-32961,14748772,1,EP2-32961,DEMO Surface Pro 12in KB CM SC English US Comm SLATE
55306,Surface Pro,MST-EP2-33668,14748797,1,EP2-33668,MST Surface Pro 12in Snapdragon Plu/16/512 Win 11 Platinum_USB-C Power Supply Included
