MicrosoftSurfacePartnerReportingUS Summary,,,,
Product Code,Vendor Item No,Product Name,Stock on Hand,Qty On Order
1E400001,1E4-00001,Srfc USB-C Travel Hub Blk,110,0
2IN00001,2IN-00001,Srfc Hub 2 Smart Camera,28,0
3YR00001,3YR-00001,Surface Mouse Gray,8,200
8U300001,8U3-00001,Microsoft Clsrm Pen Platinum,16,0
8WX00001,8WX-00001,Slim Pen 2 Black,41,240
8WY00001,8WY-00001,Slim Pen 2 Black DEMO,0,0
8X800141,8X8-00141,Pro KB w/Slim Pen Black,0,"1,200"
8X800164,8X8-00164,Pro KB w/Slim Pen Platinum,176,80
8XB00091,8XB-00091,Surface Pro Sig KB Sapphire,0,0
8XB00139,8XB-00139,Pro KB w/Pen Stor Black,547,0
8XB00162,8XB-00162,Pro KB w Pen Black,60,0
8XB00186,8XB-00186,Pro KB w/Pen Stor Platinum,29,200
EP200395,EP2-00395,Pro KB Black,352,200
EP204165,EP2-04165,Srfc Kybd Gray,63,0
EP219863,EP2-19863,Surface USB4 Dock Black,0,"2,000"
EP219866,EP2-19866,Surface USB4 Dock Black DEMO,4,0
EP229830,EP2-29830,Srfc 45W USB-C Wall Charger,124,0
EP232892,EP2-32892,Srfc Pro 12in KB Slate,78,0
EP232894,EP2-32894,Srfc Pro 12in KB Slate Large,0,40
EP233129,EP2-33129,"SrfcPro 12"" KB+SPen BUN Slate",51,95
EP237452,EP2-37452,Sfc Accy Prj CL Black DEMO,0,0
EYV00001,EYV-00001,Surface Pen M1776 Charcoal,80,0
EYV00009,EYV-00009,Surface Pen Com M1776 SC Silv,0,80
FHD00001,FHD-00001,Srfc Arc Mouse Light Grey,68,0
FHD00016,FHD-00016,Srfc Arc Mouse Black,179,0
GFV00001,GFV-00001,Surface Pen Tips,25,0
J4100001,J41-00001,Adptv Mouse Comm Black,0,0
J6100001,J61-00001,Adptv Mouse TailThumb Blk,0,0
J7100001,J71-00001,Adaptive Hub Comm Black,0,0
J8100001,J81-00001,Adptv Dual Button Com Blk,0,0
J8500001,J85-00001,Adptv Dpad Button Com Blk,0,0
J8900001,J89-00001,Adptv Joystick Btn Com Blk,0,0
LAC00001,LAC-00001,Srfc 24W Power Supply,0,0
T8I00001,T8I-00001,Srfc TB4 Dock Black,0,"1,200"
W8Z00001,W8Z-00001,65W Surface PSU Black,220,200
WKN00001,WKN-00001,Surface TB4 CM Black DEMO,0,0
Y8U00001,Y8U-00001,Srfc Pro Flex KB w SlimPen Bk,2,100
ZRA00001,ZRA-00001,Srfc Pro Flex KB Black,26,30
ZRA00023,ZRA-00023,Srfc Pro Flex KB Black,16,0
