sku,product_line,device_type,generation,screen_size,platform,cpu_family,cpu_tier,ram_gb,storage_gb,color,connectivity,os,form_factor,is_demo,is_taa,status,raw_description,family_key,spec_key
ZGV-00001,Surface Laptop,Surface Laptop,7,13.8,ARM,Snapdragon,X Plus,16,256,Platinum,WiFi,Windows 11 Pro,Clamshell,false,false,active,"Surface Laptop 7 - 13.8in - Snapdragon X Plus - X Plus/16/256 - Platinum","surface_laptop|13.8|arm","surface_laptop|13.8|arm|x_plus|16|256|platinum"
ZGX-00001,Surface Laptop,Surface Laptop,7,13.8,ARM,Snapdragon,X Plus,16,512,Platinum,WiFi,Windows 11 Pro,Clamshell,false,false,active,"Surface Laptop 7 - 13.8in - Snapdragon X Plus - X Plus/16/512 - Platinum","surface_laptop|13.8|arm","surface_laptop|13.8|arm|x_plus|16|512|platinum"
ZGZ-00001,Surface Laptop,Surface Laptop,7,13.8,ARM,Snapdragon,X Elite,16,512,Platinum,WiFi,Windows 11 Pro,Clamshell,false,false,active,"Surface Laptop 7 - 13.8in - Snapdragon X Elite - X Elite/16/512 - Platinum","surface_laptop|13.8|arm","surface_laptop|13.8|arm|x_elite|16|512|platinum"
ZHP-00001,Surface Laptop,Surface Laptop,7,15,ARM,Snapdragon,X Elite,16,256,Platinum,WiFi,Windows 11 Pro,Clamshell,false,false,active,"Surface Laptop 7 - 15in - Snapdragon X Elite - X Elite/16/256 - Platinum","surface_laptop|15|arm","surface_laptop|15|arm|x_elite|16|256|platinum"
EP2-33224,Surface Laptop,Surface Laptop,7,13.8,Intel,Core Ultra,Ultra 5,16,256,Black,WiFi,Windows 11 Pro,Clamshell,false,false,active,"Surface Laptop 7 - 13.8in - Ultra 5 236V - U5/16/256 - Black","surface_laptop|13.8|intel","surface_laptop|13.8|intel|ultra_5|16|256|black"
EP2-33242,Surface Laptop,Surface Laptop,7,13.8,Intel,Core Ultra,Ultra 5,16,256,Platinum,WiFi,Windows 11 Pro,Clamshell,false,false,active,"Surface Laptop 7 - 13.8in - Ultra 5 236V - U5/16/256 - Platinum","surface_laptop|13.8|intel","surface_laptop|13.8|intel|ultra_5|16|256|platinum"
EP2-33229,Surface Laptop,Surface Laptop,7,13.8,Intel,Core Ultra,Ultra 7,16,512,Black,WiFi,Windows 11 Pro,Clamshell,false,false,active,"Surface Laptop 7 - 13.8in - Ultra 7 266V - U7/16/512 - Black","surface_laptop|13.8|intel","surface_laptop|13.8|intel|ultra_7|16|512|black"
EP2-33247,Surface Laptop,Surface Laptop,7,13.8,Intel,Core Ultra,Ultra 7,16,512,Platinum,WiFi,Windows 11 Pro,Clamshell,false,false,active,"Surface Laptop 7 - 13.8in - Ultra 7 266V - U7/16/512 - Platinum","surface_laptop|13.8|intel","surface_laptop|13.8|intel|ultra_7|16|512|platinum"
EP2-33233,Surface Laptop,Surface Laptop,7,15,Intel,Core Ultra,Ultra 5,16,256,Black,WiFi,Windows 11 Pro,Clamshell,false,false,active,"Surface Laptop 7 - 15in - Ultra 5 236V - U5/16/256 - Black","surface_laptop|15|intel","surface_laptop|15|intel|ultra_5|16|256|black"
EP2-33251,Surface Laptop,Surface Laptop,7,15,Intel,Core Ultra,Ultra 5,16,256,Platinum,WiFi,Windows 11 Pro,Clamshell,false,false,active,"Surface Laptop 7 - 15in - Ultra 5 236V - U5/16/256 - Platinum","surface_laptop|15|intel","surface_laptop|15|intel|ultra_5|16|256|platinum"
