source_sku,replacement_sku,replacement_type,match_confidence,reason
EP2-33224,EP2-47589,current_gen_comparable,high,"Laptop 7 13.8 Intel U5/16/256 Black -> Laptop 8 13.8 Intel U5/16/256 Black"
EP2-33242,EP2-47614,current_gen_comparable,high,"Laptop 7 13.8 Intel U5/16/256 Platinum -> Laptop 8 13.8 Intel U5/16/256 Platinum"
EP2-33228,EP2-47640,current_gen_comparable,high,"Laptop 7 13.8 Intel U5/16/512 Black -> Laptop 8 13.8 Intel U5/16/512 Black"
EP2-33246,EP2-47665,current_gen_comparable,high,"Laptop 7 13.8 Intel U5/16/512 Platinum -> Laptop 8 13.8 Intel U5/16/512 Platinum"
EP2-33233,EP2-50779,current_gen_comparable,high,"Laptop 7 15 Intel U5/16/256 Black -> Laptop 8 15 Intel U5/16/256 Black"
EP2-33251,EP2-50804,current_gen_comparable,high,"Laptop 7 15 Intel U5/16/256 Platinum -> Laptop 8 15 Intel U5/16/256 Platinum"
EP2-33229,EP2-47990,current_gen_comparable,medium,"Laptop 7 13.8 Intel U7/16/512 Black -> closest listed Laptop 8 13.8 Intel U7 Black option available in file"
EP2-33247,EP2-48015,current_gen_comparable,medium,"Laptop 7 13.8 Intel U7/16/512 Platinum -> closest listed Laptop 8 13.8 Intel U7 Platinum option available in file"
EP2-33234,EP2-51079,current_gen_comparable,medium,"Laptop 7 15 Intel U7/16/256 Black -> closest listed Laptop 8 15 Intel UX7/16/256 Black"
EP2-33252,EP2-51104,current_gen_comparable,medium,"Laptop 7 15 Intel U7/16/256 Platinum -> closest listed Laptop 8 15 Intel UX7/16/256 Platinum"
ZGV-00001,ZGV-00001,same_gen_reference,high,"Current generation ARM SKU already current in provided data"
ZGX-00001,ZGX-00001,same_gen_reference,high,"Current generation ARM SKU already current in provided data"
ZIN-00001,ZIN-00001,same_gen_reference,high,"Current generation Pro 11 ARM SKU already current in provided data"
EP2-20213,EP2-20213,same_gen_reference,high,"Current generation Pro 11 Intel SKU already current in provided data"
